month,year,temp
7,1956,54.2012
8,1956,54.32
9,1956,55.6322
10,1956,58.379
11,1956,60.6038
12,1956,63.2066
1,1957,65.8202
2,1957,68.6012
3,1957,66.3872
4,1957,62.645
5,1957,59.873
6,1957,54.977
7,1957,51.836
8,1957,55.0778
9,1957,55.481
10,1957,55.6466
11,1957,60.152
12,1957,61.6532
1,1958,64.8914
2,1958,69.1304
3,1958,67.0568
4,1958,60.2798
5,1958,58.982
6,1958,55.553
7,1958,53.5622
8,1958,54.6458
9,1958,54.8258
10,1958,59.4032
11,1958,61.1564
12,1958,65.3144
1,1959,67.5644
2,1959,66.3638
3,1959,65.66
4,1959,61.3094
5,1959,55.5044
6,1959,53.312
7,1959,53.6576
8,1959,54.5054
9,1959,55.9022
10,1959,57.0056
11,1959,60.4796
12,1959,64.9076
1,1960,66.1946
2,1960,67.1324
3,1960,63.7322
4,1960,60.6776
5,1960,59.774
6,1960,55.9904
7,1960,53.4704
8,1960,53.555
9,1960,56.4116
10,1960,57.7616
11,1960,60.1628
12,1960,60.8252
1,1961,65.327
2,1961,66.1478
3,1961,64.6232
4,1961,61.889
5,1961,58.2278
6,1961,55.7978
7,1961,53.4272
8,1961,52.79
9,1961,54.8132
10,1961,58.5716
11,1961,60.7226
12,1961,65.4476
1,1962,68.7938
2,1962,67.793
3,1962,65.5286
4,1962,63.149
5,1962,61.2212
6,1962,56.9102
7,1962,54.4262
8,1962,54.9284
9,1962,55.4954
10,1962,59.4716
11,1962,60.395
12,1962,62.8322
1,1963,65.921
2,1963,68.4662
3,1963,65.183
4,1963,60.3356
5,1963,58.244
6,1963,55.0256
7,1963,54.8024
8,1963,52.97
9,1963,55.589
10,1963,57.2684
11,1963,59.0972
12,1963,62.2058
1,1964,63.7124
2,1964,66.6734
3,1964,65.1578
4,1964,61.5182
5,1964,57.0506
6,1964,55.4954
7,1964,55.6682
8,1964,54.3308
9,1964,54.6008
10,1964,56.435
11,1964,59.2628
12,1964,63.6908
1,1965,66.7382
2,1965,64.6826
3,1965,63.8492
4,1965,61.2428
5,1965,57.5402
6,1965,54.0716
7,1965,51.4886
8,1965,53.2094
9,1965,55.265
10,1965,55.508
11,1965,58.8002
12,1965,62.4524
1,1966,66.0686
2,1966,70.0142
3,1966,67.0928
4,1966,61.8404
5,1966,56.6888
6,1966,54.3164
7,1966,53.4326
8,1966,51.971
9,1966,54.9284
10,1966,55.7312
11,1966,58.991
12,1966,61.7756
1,1967,63.5306
2,1967,65.5412
3,1967,66.2162
4,1967,61.9862
5,1967,58.6148
6,1967,53.519
7,1967,53.852
8,1967,56.8562
9,1967,54.896
10,1967,58.6958
11,1967,61.0412
12,1967,63.473
1,1968,64.5332
2,1968,66.0722
3,1968,69.3158
4,1968,62.3138
5,1968,59.0468
6,1968,56.2172
7,1968,53.4398
8,1968,54.3776
9,1968,53.8484
10,1968,56.1704
11,1968,58.0892
12,1968,60.9044
1,1969,64.1264
2,1969,65.228
3,1969,63.662
4,1969,60.7388
5,1969,58.4348
6,1969,54.2552
7,1969,51.1268
8,1969,53.636
9,1969,56.6132
10,1969,55.3622
11,1969,60.8792
12,1969,65.6708
1,1970,68.6876
2,1970,67.1702
3,1970,67.5014
4,1970,63.149
5,1970,57.695
6,1970,55.9688
7,1970,54.6188
8,1970,55.2938
9,1970,56.9786
10,1970,58.478
11,1970,60.764
12,1970,64.9526
1,1971,67.6724
2,1971,68.5382
3,1971,65.0102
4,1971,62.5442
5,1971,59.4446
6,1971,58.6652
7,1971,53.4488
8,1971,56.1344
9,1971,56.192
10,1971,57.6878
11,1971,60.197
12,1971,63.8438
1,1972,64.7312
2,1972,65.201
3,1972,67.2116
4,1972,62.6378
5,1972,58.4708
6,1972,53.1806
7,1972,54.599
8,1972,52.2698
9,1972,56.0624
10,1972,57.9398
11,1972,63.527
12,1972,61.8188
