month,year,temp
4,1786,50.6462
5,1786,56.4242
6,1786,64.5872
7,1786,63.2624
8,1786,63.3542
9,1786,57.1514
10,1786,46.5512
11,1786,38.4584
12,1786,37.2452
1,1787,33.9314
2,1787,40.4294
3,1787,46.7096
4,1787,48.002
5,1787,54.2174
6,1787,62.8448
7,1787,64.0184
8,1787,65.4134
9,1787,59.0828
10,1787,52.9088
11,1787,42.4418
12,1787,41.3672
1,1788,38.6132
2,1788,41.6498
3,1788,42.719
4,1788,51.08
5,1788,60.1808
6,1788,64.2974
7,1788,67.712
8,1788,64.3172
9,1788,60.944
10,1788,49.8902
11,1788,38.6924
12,1788,30.3224
1,1789,33.4364
2,1789,41.3708
3,1789,36.4712
4,1789,48.5618
5,1789,60.215
6,1789,59.5598
7,1789,64.6016
8,1789,64.5386
9,1789,58.0136
10,1789,49.0424
11,1789,39.9776
12,1789,39.7958
1,1790,37.7924
2,1790,42.2528
3,1790,45.4244
4,1790,46.1912
5,1790,58.2098
6,1790,62.8268
7,1790,63.2282
8,1790,65.4026
9,1790,56.9588
10,1790,52.5722
11,1790,42.6596
12,1790,39.3044
1,1791,40.7696
2,1791,39.4826
3,1791,43.7018
4,1791,53.8448
5,1791,54.7898
6,1791,62.0636
7,1791,64.9958
8,1791,66.992
9,1791,59.6858
10,1791,49.6364
11,1791,40.7678
12,1791,37.2236
1,1792,37.6466
2,1792,38.174
3,1792,45.086
4,1792,53.5046
5,1792,55.1048
6,1792,61.1096
7,1792,65.3738
8,1792,66.4538
9,1792,56.5952
10,1792,51.908
11,1792,42.674
12,1792,39.2234
1,1793,34.1276
2,1793,41.5292
3,1793,43.4894
4,1793,46.7168
5,1793,54.3254
6,1793,60.4886
7,1793,70.529
8,1793,66.7742
9,1793,57.488
10,1793,53.8016
11,1793,44.1428
12,1793,40.8758
1,1794,35.2472
2,1794,44.7872
3,1794,47.9804
4,1794,54.482
5,1794,55.49
6,1794,63.3092
7,1794,70.5416
8,1794,64.3226
9,1794,57.3764
10,1794,50.7308
11,1794,45.2102
12,1794,33.998
1,1795,26.5244
2,1795,37.2254
3,1795,42.2348
4,1795,51.4922
5,1795,56.687
6,1795,62.375
7,1795,62.429
8,1795,66.11
9,1795,62.573
10,1795,55.8212
11,1795,41.3348
12,1795,43.2356
1,1796,44.024
2,1796,40.3394
3,1796,39.6536
4,1796,50.3546
5,1796,55.5314
6,1796,61.2896
7,1796,63.7376
8,1796,65.5322
9,1796,62.0708
10,1796,49.2962
11,1796,41.6624
12,1796,32.0684
1,1797,37.4126
2,1797,38.0876
3,1797,41.2538
4,1797,50.396
5,1797,58.4654
6,1797,59.0342
7,1797,68.6984
8,1797,65.7464
9,1797,58.442
10,1797,49.2296
11,1797,43.7234
12,1797,41.4554
1,1798,37.8158
2,1798,39.5744
3,1798,42.6884
4,1798,52.1924
5,1798,57.6446
6,1798,64.3622
7,1798,65.4098
8,1798,65.9894
9,1798,59.36
10,1798,51.3752
11,1798,41.7668
12,1798,33.008
1,1799,30.7472
2,1799,39.1316
3,1799,40.4204
4,1799,44.528
5,1799,53.438
6,1799,60.1664
7,1799,63.662
8,1799,63.518
9,1799,58.4258
10,1799,49.6184
11,1799,42.1286
12,1799,30.2576
1,1800,38.093
2,1800,36.131
3,1800,39.614
4,1800,53.5856
5,1800,59.7398
6,1800,58.7408
7,1800,66.1424
8,1800,66.9812
9,1800,60.0908
10,1800,49.1702
11,1800,44.213
12,1800,37.3658
1,1801,39.4178
2,1801,38.6582
3,1801,46.1534
4,1801,49.3988
5,1801,57.0002
6,1801,60.4292
7,1801,63.6458
8,1801,65.1308
9,1801,60.8396
10,1801,52.0394
11,1801,42.908
12,1801,38.2514
1,1802,30.6338
2,1802,39.0434
3,1802,43.3868
4,1802,50.36
5,1802,56.2244
6,1802,63.023
7,1802,62.321
8,1802,68.9378
9,1802,60.8846
10,1802,53.096
11,1802,43.0268
12,1802,38.9264
1,1803,32.3456
2,1803,33.3986
3,1803,42.791
4,1803,52.0754
5,1803,53.2598
